CrsId,ARCCode,CREDIT TYPE CDE,TRANS YR,TRANS TRM 
452,ELE00,TR,TR  ,TR
453,ELE00,TR,TR  ,TR
454,ELE00,TR,TR  ,TR
455,ELE00,TR,TR  ,TR
456,ELE00,TR,TR  ,TR
457,ELE00,TR,TR  ,TR
458,ELE00,TR,TR  ,TR
459,ELE00,TR,TR  ,TR
460,ELE00,TR,TR  ,TR
461,ELE00,TR,TR  ,TR
462,ELE00,TR,TR  ,TR
463,ELE00,TR,TR  ,TR
464,ELE00,TR,TR  ,TR
465,ELE00,TR,TR  ,TR
466,ELE00,TR,TR  ,TR
467,ELE00,TR,TR  ,TR
468,ELE00,TR,TR  ,TR
469,ELE00,TR,TR  ,TR
470,ELE00,TR,TR  ,TR
471,ELE00,TR,TR  ,TR
472,ELE00,TR,TR  ,TR
473,ELE00,TR,TR  ,TR
474,ELE00,TR,TR  ,TR
475,ELE00,TR,TR  ,TR
476,ELE00,TR,TR  ,TR
477,ELE00,TR,TR  ,TR
478,ELE00,TR,TR  ,TR
479,ELE00,TR,TR  ,TR
480,ELE00,TR,TR  ,TR
481,ELE00,TR,TR  ,TR
482,ELE00,TR,TR  ,TR
483,ELE00,TR,TR  ,TR
484,ELE00,TR,TR  ,TR
485,ELE00,TR,TR  ,TR
486,ELE00,TR,TR  ,TR
487,ELE00,TR,TR  ,TR
488,ELE00,TR,TR  ,TR
489,ELE00,TR,TR  ,TR
490,ELE00,TR,TR  ,TR
491,ELE00,TR,TR  ,TR
492,GEP1E,TR,TR  ,TR
493,ELE00,TR,TR  ,TR
494,ELE00,TR,TR  ,TR
495,ELE00,TR,TR  ,TR
496,ELE00,TR,TR  ,TR
497,ELE00,TR,TR  ,TR
498,ELE00,TR,TR  ,TR
499,ELE00,TR,TR  ,TR
500,ELE00,TR,TR  ,TR
501,ELE00,TR,TR  ,TR
502,ELE00,TR,TR  ,TR
503,ELE00,TR,TR  ,TR
504,ELE00,TR,TR  ,TR
505,ELE00,TR,TR  ,TR
506,ELE00,TR,TR  ,TR
507,ELE00,TR,TR  ,TR
508,ELE00,TR,TR  ,TR
509,ELE00,TR,TR  ,TR
510,ELE00,TR,TR  ,TR
511,ELE00,TR,TR  ,TR
512,ELE00,TR,TR  ,TR
513,ELE00,TR,TR  ,TR
514,ELE00,TR,TR  ,TR
515,ELE00,TR,TR  ,TR
516,ELE00,TR,TR  ,TR
517,ELE00,TR,TR  ,TR
518,ELE00,TR,TR  ,TR
519,ELE00,TR,TR  ,TR
520,ELE00,TR,TR  ,TR
521,ELE00,TR,TR  ,TR
522,ELE00,TR,TR  ,TR
523,ELE00,TR,TR  ,TR
524,ELE00,TR,TR  ,TR
525,ELE00,TR,TR  ,TR
526,ELE00,TR,TR  ,TR
527,ELE00,TR,TR  ,TR
528,ELE00,TR,TR  ,TR
529,ELE00,TR,TR  ,TR
530,ELE00,TR,TR  ,TR
531,ELE00,TR,TR  ,TR
532,ELE00,TR,TR  ,TR
533,ELE00,TR,TR  ,TR
534,ELE00,TR,TR  ,TR
535,ELE00,TR,TR  ,TR
536,ELE00,TR,TR  ,TR
537,ELE00,TR,TR  ,TR
538,ELE00,TR,TR  ,TR
539,ELE00,TR,TR  ,TR
540,ELE00,TR,TR  ,TR
541,ELE00,TR,TR  ,TR
542,ELE00,TR,TR  ,TR
543,ELE00,TR,TR  ,TR
544,ELE00,TR,TR  ,TR
545,ELE00,TR,TR  ,TR
546,ELE00,TR,TR  ,TR
547,ELE00,TR,TR  ,TR
548,ELE00,TR,TR  ,TR
549,ELE00,TR,TR  ,TR
550,ELE00,TR,TR  ,TR
551,ELE00,TR,TR  ,TR
552,ELE00,TR,TR  ,TR
553,ELE00,TR,TR  ,TR
554,ELE00,TR,TR  ,TR
555,ELE00,TR,TR  ,TR
556,ELE00,TR,TR  ,TR
557,ELE00,TR,TR  ,TR
558,ELE00,TR,TR  ,TR
559,ELE00,TR,TR  ,TR
560,ELE00,TR,TR  ,TR
561,ELE00,TR,TR  ,TR
562,ELE00,TR,TR  ,TR
563,ELE00,TR,TR  ,TR
564,ELE00,TR,TR  ,TR
565,ELE00,TR,TR  ,TR
566,ELE00,TR,TR  ,TR
567,ELE00,TR,TR  ,TR
568,ELE00,TR,TR  ,TR
569,ELE00,TR,TR  ,TR
570,ELE00,TR,TR  ,TR
571,ELE00,TR,TR  ,TR
572,ELE00,TR,TR  ,TR
573,ELE00,TR,TR  ,TR
574,ELE00,TR,TR  ,TR
575,ELE00,TR,TR  ,TR
576,ELE00,TR,TR  ,TR
577,BIO350,TR,TR  ,TR
578,ELE00,TR,TR  ,TR
579,ELE00,TR,TR  ,TR
580,ELE00,TR,TR  ,TR
581,ELE00,TR,TR  ,TR
582,ELE00,TR,TR  ,TR
583,ELE00,TR,TR  ,TR
584,ELE00,TR,TR  ,TR
585,ELE00,TR,TR  ,TR
586,ELE00,TR,TR  ,TR
587,ELE00,TR,TR  ,TR
588,ELE00,TR,TR  ,TR
589,ELE00,TR,TR  ,TR
590,ELE00,TR,TR  ,TR
591,ELE00,TR,TR  ,TR
592,ELE00,TR,TR  ,TR
593,ELE00,TR,TR  ,TR
594,ELE00,TR,TR  ,TR
595,ELE00,TR,TR  ,TR
596,ELE00,TR,TR  ,TR
597,ELE00,TR,TR  ,TR
598,ELE00,TR,TR  ,TR
599,ELE00,TR,TR  ,TR
600,ELE00,TR,TR  ,TR
601,ELE00,TR,TR  ,TR
602,ELE00,TR,TR  ,TR
603,ELE00,TR,TR  ,TR
604,ELE00,TR,TR  ,TR
605,ELE00,TR,TR  ,TR
606,ELE00,TR,TR  ,TR
607,ELE00,TR,TR  ,TR
608,ELE00,TR,TR  ,TR
609,ELE00,TR,TR  ,TR
610,ELE00,TR,TR  ,TR
611,ELE00,TR,TR  ,TR
612,ELE00,TR,TR  ,TR
613,ELE00,TR,TR  ,TR
614,ELE00,TR,TR  ,TR
615,ELE00,TR,TR  ,TR
616,ELE00,TR,TR  ,TR
617,ELE00,TR,TR  ,TR
618,ELE00,TR,TR  ,TR
619,ELE00,TR,TR  ,TR
620,ELE00,TR,TR  ,TR
621,ELE00,TR,TR  ,TR
622,ELE00,TR,TR  ,TR
623,ELE00,TR,TR  ,TR
624,ELE00,TR,TR  ,TR
625,ELE00,TR,TR  ,TR
626,ELE00,TR,TR  ,TR
627,ELE00,TR,TR  ,TR
628,ELE00,TR,TR  ,TR
629,ELE00,TR,TR  ,TR
630,ELE00,TR,TR  ,TR
631,ELE00,TR,TR  ,TR
632,ELE00,TR,TR  ,TR
633,ELE00,TR,TR  ,TR
634,ELE00,TR,TR  ,TR
635,ELE00,TR,TR  ,TR
636,ELE00,TR,TR  ,TR
637,ELE00,TR,TR  ,TR
638,ELE00,TR,TR  ,TR
639,ELE00,TR,TR  ,TR
640,ELE00,TR,TR  ,TR
641,ELE00,TR,TR  ,TR
642,ELE00,TR,TR  ,TR
643,ELE00,TR,TR  ,TR
644,ELE00,TR,TR  ,TR
645,ELE00,TR,TR  ,TR
646,ELE00,TR,TR  ,TR
647,ELE00,TR,TR  ,TR
648,ELE00,TR,TR  ,TR
649,ELE00,TR,TR  ,TR
650,ELE00,TR,TR  ,TR
651,ELE00,TR,TR  ,TR
652,ELE00,TR,TR  ,TR
653,ELE00,TR,TR  ,TR
654,ELE00,TR,TR  ,TR
655,ELE00,TR,TR  ,TR
656,ELE00,TR,TR  ,TR
657,ELE00,TR,TR  ,TR
