CrsId,ArcCode,CreditType,TYear,TTerm
743,,TR,0,TR
744,,TR,0,TR
745,,TR,0,TR
746,,TR,0,TR
747,,TR,0,TR
748,,TR,0,TR
749,,TR,TR,TR
750,ELE00,TR,TR,TR
751,PSY480,TR,TR,TR
752,POL405,TR,TR,TR
753,ELE00,TR,TR,TR
754,,TR,TR,TR
755,ELE00,TR,TR,TR
756,,TR,0,TR
757,,TR,0,TR
758,,TR,0,TR
759,,TR,0,TR
760,,TR,0,TR
761,,TR,0,TR
762,,TR,0,TR
763,,TR,0,TR
764,,TR,0,TR
765,,TR,0,TR
766,,TR,0,TR
767,,TR,0,TR
768,,TR,0,TR
769,,TR,0,TR
770,ELE00,TR,TR,TR
771,ENG101,TR,TR,TR
772,ENG102,TR,TR,TR
773,ELE00,TR,TR,TR
774,HPE154,TR,TR,TR
775,SOC100,TR,TR,TR
776,,TR,0,TR
777,,TR,0,TR
778,,TR,0,TR
779,,TR,0,TR
780,,TR,0,TR
781,,TR,0,TR
782,,TR,0,TR
783,,TR,0,TR
784,,TR,0,TR
785,,TR,0,TR
786,,TR,0,TR
787,,TR,0,TR
788,,TR,0,TR
789,,TR,0,TR
790,,TR,0,TR
791,,TR,0,TR
792,ELE00,TR,TR,TR
793,ENG101,TR,TR,TR
794,ENG102,TR,TR,TR
795,GEP3C,TR,TR,TR
796,ENG101,TR,TR,TR
797,ENG102,TR,TR,TR
798,GEP3E,TR,TR,TR
799,THR100,TR,TR,TR
800,REL100,TR,TR,TR
801,,TR,0,TR
802,BIO100,TR,0,TR
803,THR120,TR,0,TR
804,DAN110,TR,TR,TR
805,ENG101,TR,TR,TR
806,VLN101,TR,TR,TR
807,,TR,0,TR
808,,TR,0,TR
809,,TR,0,TR
810,,TR,0,TR
811,,TR,0,TR
812,MUA101,TR,TR,TR
813,MUA103,TR,TR,TR
814,ELE00,TR,TR,TR
815,VLN103,TR,TR,TR
816,GEP2,TR,0,TR
817,MTH108,TR,TR,TR
818,,TR,0,TR
819,MUH125,TR,TR,TR
820,,TR,0,TR
821,ELE00,TR,TR,TR
822,MEN130,TR,TR,TR
823,,TR,0,TR
824,,TR,0,TR
825,,TR,0,TR
826,,TR,0,TR
827,MUT101,TR,TR,TR
828,MUT111,TR,TR,TR
829,MUT103,TR,TR,TR
830,MUT113,TR,TR,TR
831,ELE00,TR,0,TR
832,,TR,0,TR
833,HPE154,TR,0,TR
834,,TR,0,TR
835,GEP3B,TR,0,TR
836,,TR,0,TR
837,REL101,TR,0,TR
838,GEP1F,TR,TR,TR
839,GEP3N,TR,TR,TR
840,SOC100,TR,0,TR
841,ENG150,TR,0,TR
842,,TR,0,TR
843,ELE00,TR,TR,TR
844,ART100,TR,TR,TR
845,,TR,0,TR
846,,TR,0,TR
847,,TR,0,TR
848,GEP3N,TR,TR,TR
849,ELE00,TR,TR,TR
850,FRN101,TR,TR,TR
851,FRN102,TR,TR,TR
852,HPE255,TR,TR,TR
853,ELE00,TR,TR,TR
854,,TR,0,TR
855,,TR,0,TR
856,MTH108,TR,TR,TR
857,GEP2,TR,TR,TR
858,MEN150,TR,TR,TR
859,MEN120,TR,TR,TR
860,MEN110,TR,TR,TR
861,MUT101,TR,TR,TR
862,MUT111,TR,TR,TR
863,FLT111,TR,TR,TR
864,REL104,TR,TR,TR
865,ELE00,TR,TR,TR
866,ELE00,TR,TR,TR
867,ELE00,TR,TR,TR
868,ELE00,TR,TR,TR
869,ELE00,TR,TR,TR
870,SOC100,TR,TR,TR
871,,TR,0,TR
872,,TR,0,TR
873,,TR,0,TR
